Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company,State,ZIP code,Complaint ID,UserId,Resolved,Resolved Date,Feedback Text,Feedback Score,Complaint Length,Feedback Length,Sentiment_Complaint_Label,Sentiment_Complaint_Score,Sentiment_Feedback_Label,Sentiment_Feedback_Score,Aggressiveness_Score,Complaint_Keywords,normalize sentiment,Risk Score,EscalationRisk,Escalation_label,nrc_emotions,Rating
24-04-2025,Debt collection,Medical debt,Communication tactics,Frequent or repeated calls,"This is a follow-up complaint regarding Credit Service International Corp XXXX XXXX ) and its continued reporting of inaccurate, conflicting, and unverifiable information across multiple consumer reporting agencies. Despite prior disputes and reinvestigation requests, XXXX continues to report materially inconsistent information related to the same alleged medical collection account, causing ongoing consumer harm. 
Background of the Alleged Debt : The medical bill at issue stems from injuries sustained in a motor vehicle incident caused by a roadway defect. I struck a pothole, which resulted in an accident ( total loss vehicle ) and subsequent medical treatment. Legal counsel ( XXXX XXXX XXXX ) was retained, and a claim was pursued against the responsible city entity. The city denied liability, and the claim did not result in recovery. As such, this matter involves disputed third-party liability related to an accident claimnot a straightforward consumer medical debt. 

Conflicting and Inaccurate Reporting Includes : XXXX Inconsistent identification of the original creditor across consumer reports ( XXXX listed as original creditor on one report while XXXX XXXX XXXX XXXX is listed on another ) 2 Reporting the account as both open and placed for collection 3 Submission of a billing invoice alone, which does not constitute verification of a debt 4 Failure to provide itemized medical billing or proof of services rendered 5 Failure to disclose the Method of Verification as required under 15 U.S.C. 1681i ( a ) ( 7 ) 6 Continued reporting during an active dispute and reinvestigation 7 Failure to identify the individual or department that verified the account 8 Failure to provide documentation establishing legal authority to collect or report 9 Failure to consider the disputed liability nature of an accident-related medical claim Clarification Regarding Verification : The mere submission of a billing statement or invoice does not satisfy the requirements of a reasonable investigation or verification under the Fair Credit Reporting Act. Verification requires competent evidence demonstrating the validity, ownership, accuracy, and legal enforceability of the alleged debtparticularly where the underlying obligation arose from a disputed accident-related claim. 

Legal Basis : These actions constitute violations of the Fair Credit Reporting Act, including but not limited to : 15U.S.C. 1681e ( b ) Failure to assure maximum possible accuracy 15 U.S.C. 1681i ( a ) ( 7 ) Failure to provide method of verification 15 U.S.C. 1681s-2 ( b ) Failure to conduct a reasonable investigation. 

This complaint is submitted for CFPB review and enforcement. Continued reporting of conflictinginformation after notice constitutes willful noncompliance. 
Sincerely, XXXX XXXX",Credit Service International Corp,GA,30248,18296097,1299,Yes,,Totally DISAPPOINTED with their sevice !!! No explanation and worse justification,,418,,negative,-0.674042284,neutral,0.5,0.244,"['alleged debtparticularly', 'alleged debt', 'creditor report', 'disputed liability', 'verification debt']",0.162978858,0.837021142,0.629463742,Medium,"{'anger': 8, 'negative': 17, 'positive': 27, 'trust': 30, 'anticipation': 11, 'fear': 12, 'surprise': 3, 'sadness': 9}",1.0
13-04-2025,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,"on the XXXX of XXXX to the XXXX of XXXX i was in rehab, i had my phone stolen from my car ( which i have a police report filed ) and someone made XXXX dolllars worth of transactions during that time. the suspect knew where my rehab was, how long i was going to be in there for and she made sure to go through my previous bank statements to take money from my account and funnel it into hers. i even have a text from her where she admits all this to a mutual friend. the bank took my original claim and denied it without speaking to me and says there is nothing i can do",WELLS FARGO & COMPANY,CA,92782,18388478,1228,Yes,,Great service and top feedback provided !! Glad with their service,,118,,neutral,-0.450624198,neutral,0.5,0.135,"['bank took', 'bank statements', 'phone stolen', 'claim denied', 'stolen car']",0.274687901,0.725312099,0.518702864,Medium,"{'anger': 2, 'negative': 3, 'fear': 2, 'positive': 5, 'trust': 6, 'anticipation': 3, 'joy': 2, 'surprise': 1, 'sadness': 1}",5.0
09-01-2025,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"Well, this is part of my claim that they\n Took money back out of my account because they claiming my pin number was on the back of my card, which it was because I have a hard time remembering my pin numbers which under federal law? It shouldn't be a reason to deny my claim claim number is XXXX which my next step is to follow a lawsuit with small claims court to get my money back for all 3 claims. Like this shouldn't be a customer 's doings im on a fixed income",M&T BANK CORPORATION,PA,16602,18268655,1303,Yes,,Worse experience ever !! Poor quality of staff and professionalism,,94,,negative,-0.814454138,neutral,0.5,0.219,"['claim number', 'claiming pin', 'money claims', 'account claiming', 'deny claim']",0.092772931,0.907227069,0.666347595,Medium,"{'anger': 5, 'anticipation': 5, 'joy': 3, 'positive': 6, 'surprise': 3, 'trust': 6, 'negative': 4, 'disgust': 1, 'fear': 2, 'sadness': 2}",1.0
24-09-2025,Checking or savings account,Checking account,Managing an account,Problem making or receiving payments,"# # # Institution Wells Fargo Bank , N.A . 


# # # Date and Time of Incident * * XX/XX/year> * *, approximately * * XXXX XXXX  XXXX XXXX ( XXXX ) * * # # # Method of Contact International customer service number printed on the back of my Wells Fargo card -- - # # Summary of Complaint I am filing this complaint because Wells Fargos authentication and customer support practices * * prevented me from reliably accessing or authenticating my bank account while I was outside the United States XXXX *, creating a * * serious trust and security failure in the event of an emergency * *. 

This complaint is * * not about a retail transaction * *. 
It concerns * * whether a bank can be relied upon for access and support when a customer is traveling internationally and needs assistance urgently * *. 

-- - # # Detailed Account of the Incident On * * XX/XX/year> * *, between approximately * * XXXX and XXXX XXXX  XXXX XXXX * *, I was traveling outside the United States and needed to authenticate my Wells Fargo account. I followed Wells Fargos instructions and contacted the * * international number printed on the back of my card * *. 

At the time of the incident, * * XXXX phone numbers were already on file with Wells Fargo and associated with my account * * : 1. A U.S. carrier-based mobile number 2. A * * XXXX XXXX number * *, capable of receiving XXXX  messages and actively used for financial authentication I informed the representative clearly that : * I was * * outside the United States * * * I * * could not receive XXXX  messages * * sent to my U.S. carrier number * The * * XXXX XXXX number on file was reachable * * Despite this, Wells Fargo : * Sent the one-time verification code * * only to the U.S. carrier numbeXXXX * * * * * Refused to send the code to the XXXX XXXX  number * *, despite it being on file * * * Refused to offer any alternative authentication method * * * * * Refused to escalate the call to a supervisor * * I was told that Wells Fargo only sends verification codes to carrier-based numbers, that escalation was not possible, and that calling again would not change the outcome. 

As a result, I was * * unable to authenticate, unable to escalate, and effectively locked out of my bank while abroad * *. 

-- - # # Why This Is a Serious Trust and Security Failure This incident represents a * * fundamental breakdown of trust and security * *, not a mere inconvenience. 

A bank is a * * critical dependency in emergencies * *, especially when a customer is in a foreign country. In a real emergency such as medical issues, legal problems, fraud response, or sudden travel disruptions a customer must be able to : * Authenticate their identity * Access assistance * Escalate issues when standard procedures fail Wells Fargos actions created a * * single point of failure * * by : * Knowing I was abroad * Knowing XXXX  to my U.S. number would not work * Having an alternate, verified phone number on file * * * Refusing to use that alternate number * * * Providing * * no fallback authentication * * * Refusing escalation This left me * * financially exposed in a foreign country * *, with no reliable way to access or secure my account. 

A bank that can not function for a customer during travel precisely when banking access matters most * * can not be considered trustworthy for emergency use * *. The harm here is not hypothetical ; it is the * * loss of reliable access to ones own financial institution in a foreign jurisdiction * *. 

-- - # # Evidence the Failure Was Policy-Based, Not Technical I was later able to authenticate successfully through * * XXXX * XXXX, which sent a one-time verification code to the * * same XXXX XXXX  number * XXXX Wells Fargo refused to use . This confirms that : * The number is functional * The number is XXXX-capable * Wells Fargos refusal was due to * * internal policy * *, not technical limitation -- - # # Regulatory Concerns This incident raises concerns under : * * * 12 U.S.C. 5531 ( UDAAP Unfair Acts or Practices ) * * * * * 12 U.S.C. 5536 ( a ) ( 1 ) ( B ) * * The harm was : * * * Substantial * * ( loss of reliable bank access abroad ) * * * Not reasonably avoidable * * ( no alternative offered ) * * * Not outweighed by countervailing benefits * * ( rigid policy without emergency fallback ) -- - # # Filing Context Because Wells Fargo provides * * no accessible electronic method * * to submit a written complaint while a customer is outside the United States, this complaint is being filed * * directly with regulators * *. A written complaint will be mailed to Wells Fargo Executive Complaints upon my return to the U.S.

-- - # # Requested Regulatory Action I respectfully request that Wells Fargo be required to : 1. Explain its authentication policies for customers traveling internationally 2. Provide reasonable emergency authentication alternatives 3. Address the refusal to escalate the matter to a supervisor 4. Respond * * in writing * * to this complaint",WELLS FARGO & COMPANY,FL,33139,18215372,1378,Yes,,,,943,,neutral,-0.304469913,positive,0.175723448,0.255,"['fargos authentication', 'fargo bank', 'authenticating bank', 'fargo account', 'concerns bank']",0.347765044,0.652234957,0.513202722,Medium,"{'positive': 29, 'anger': 12, 'negative': 33, 'trust': 36, 'disgust': 2, 'fear': 13, 'sadness': 12, 'surprise': 10, 'anticipation': 7, 'joy': 1}",
05-04-2025,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was result of identity theft,"With all due respect to the reviewer assigned to this case, I am filing this complaint because XXXX is refusing to comply with my rights under federal law, specifically FCRA 605B, regarding the blocking of an illegally furnished collection account reported by XXXX XXXX XXXX XXXX XXXX  ) on behalf of XXXX XXXX XXXX XXXX XXXX XXXX 

XXXX. This debt is being reported illegally XXXX created a balance XXXX  days after my move-out ( XX/XX/year> ) without following ANY required procedures, including : No XXXX written notice No itemized statement before reporting No certified mail No proof of damages No opportunity to dispute Improper rejection of my XXXX statutory cure notice delivered on XX/XX/year> The landlords actions violate : FDCPA 15 USC 1692e ( false representation of a debt ) FDCPA 1692f ( unfair collection ) FCRA 623 ( a ) ( 1 ) ( furnishing inaccurate information ) FCCPA 559.72 ( 9 ) ( asserting a debt that is not legitimate ) My brother XXXX XXXX XXXX XXXX, listed on the lease , is also being harmed and is included in this complaint. 

XXXX XXXX  is refusing to block the account despite a valid police report I submitted : My police report number Officer name Badge Date Written declaration Full supporting documentation Emails Ledger Evidence State complaints XXXX  responded claiming the report was online generated, even though : It was issued by the XXXX XXXX XXXX Police Department It contains correct formatting It contains the issuing jurisdiction It includes authentication information Under FCRA 605B, XXXX is REQUIRED to block the account within XXXX business days after receiving : A police report A consumer statement Identification A dispute written notice I provided all required documentation. 

XXXX is violating federal law by refusing to block this account. 
XXXX. TransUnion has already CLOSED the XXXX account This is critical. 

TransUnion reviewed the same evidence and determined the debt : Could NOT be verified Should NOT be furnished Must be removed immediately This proves : The debt is invalid The furnisher did not supply verification The collection is defective XXXX is the only CRA refusing to follow the law XXXX XXXX  is still showing the account and has failed to conduct a lawful reinvestigation XXXX continues displaying outdated data after : TransUnion closed the account Police report submission State filings Full evidence uploaded This violates : FCRA 611 failure to conduct reasonable reinvestigation FCRA 623 ( b ) failure of furnisher to correct inaccurate information XXXX. Relief Requested I request that CFPB order : Against XXXX  Immediate blocking of the XXXX account under FCRA 605B Removal of any negative information tied to this debt Confirmation that XXXX will no longer reinsert this account without legal certification Against XXXX Deletion or blocking of this account Written proof of reinvestigation Prevention of reinsertion Against XXXX Cease all furnishing Provide CFPB with verification ( which they can not ) Cease reporting under my name AND my brother XXXX name Against XXXX / XXXX Provide documentation supporting the debt ( which does not exist ) Cease illegal furnishing Retract the debt entirely XXXX. Closing Statement I have acted in good faith, provided every document required by law, and even filed a police report. The landlord created an illegal balance, sent it to collections improperly, and now XXXX  is violating federal law by refusing to block it. 

I request immediate CFPB intervention.","TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,349XX,17665122,1034,Yes,,,,564,,negative,-0.754010558,positive,0.175723448,0.503,"['report landlord', 'violates fcra', 'debt reported', 'landlords actions', 'violating federal']",0.122994721,0.877005279,0.746103431,Medium,"{'anticipation': 7, 'joy': 4, 'positive': 33, 'trust': 37, 'fear': 10, 'negative': 26, 'sadness': 19, 'anger': 8, 'disgust': 7, 'surprise': 2}",
26-07-2025,"Payday loan, title loan, personal loan, or advance loan",Installment loan,Charged fees or interest you didn't expect,,A tribal predatory company named Makwa finance misled me when applying for a loan. On XX/XX/XXXX of XXXX I received money in the amount of XXXX dollars. When applying no where did it say you had to accept the loan. When I did I apply I was ever shown an interest rate or loan term length in fact I was never in aware of receiving the money in the first place. Now for the last few months XXXX dollars have been taken out of my checking account without my knowledge. When I saw this my wife called to ask why this was happening and they said that I had signed loan documents which I never did. For the last fourth these payments had been coming out. Never in my life would I sign a loan with an over XXXX percent interest rate. This had put a hardship on my life being an XXXX XXXX citizen living on basically just my social security every month.,"LDF Holdings, LLC",CA,94066,18229899,1568,Yes,10-11-2025,Customer service handled the complaint very well.,4.0,164,7.0,negative,-0.797634006,positive,0.881401181,0.06,"['accept loan', 'applying loan', 'signed loan', 'sign loan', 'loan term']",0.101182997,0.898817003,0.605231052,Medium,"{'negative': 2, 'positive': 8, 'anger': 2, 'anticipation': 4, 'joy': 3, 'surprise': 3, 'trust': 4, 'sadness': 1}",
03-10-2025,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"On XX/XX/year>, I placed an online order with XXXX XXXX. Below is a screenshot of the online order confirmation. I also received a text with the following XXXX, which still shows the order as confirmed : https : XXXX Despite this, my credit card was charged immediately for {$190.00}, yet the item has never shipped. As of today, XX/XX/year>, the order has not progressed, and I have received no updates or tracking information. My repeated attempts to contact the company and cancel the order have gone unanswered. 

Citibank has repeatedly denied my dispute claims for nondelivery of goods, and they have not provided me with specific documentation the merchant provided that led to the claim being denied.","CITIBANK, N.A.",NJ,7871,18342133,1317,Yes,,,,117,,neutral,-0.299095511,positive,0.175723448,0.247,"['online order', 'denied dispute', 'order confirmed', 'order confirmation', 'dispute claims']",0.350452245,0.649547756,0.508656041,Medium,"{'trust': 4, 'positive': 8, 'anticipation': 1, 'negative': 5, 'sadness': 3, 'anger': 1}",
18-04-2025,Mortgage,Conventional home mortgage,Struggling to pay mortgage,"Trying to communicate with the company to fix an issue related to modification, forbearance, short sale, deed-in-lieu, bankruptcy, or foreclosure","I am filing this complaint regarding Shellpoint Mortgage Servicing and their repeated mishandling of a short-sale file for the above-referenced property. This file has been actively worked on since XX/XX/year> and has been plagued by unreasonable counteroffers, inconsistent valuations, and delays that have prevented this estate from completing a legitimate sale. 

The property was originally listed at a price that reflected its true market condition. This home has severe issues, including extensive XXXX mold and major structural concerns, which make it uninhabitable in its current state. Despite the accurate pricing, Shellpoint responded to the first offer with an extremely high counteroffer that made no market sense given the property condition. At Shellpoints direction, the property was relisted at their inflated counteroffer price. 

As expected, the property did not sell at that price and sat stagnant on the market for months. Eventually, a second offer was received at approximately the same price point as the original listingagain accurately reflecting the true value. Shellpoint came back with a small counteroffer slightly above the buyers offer, which the buyer accepted. 

Shortly thereafter, Shellpoint reversed course and issued the same inflated counteroffer from the previous year, which was completely disconnected from the approved negotiation and the propertys condition. It appears Shellpoint simply looked up the outdated listing ( which still showed their prior counteroffer price ) and reused that number instead of reviewing the current valuation or the accepted offer. 

This arbitrary and inconsistent behavior has now jeopardized the sale again. Shellpoints repeated reliance on unrealistic pricingdespite full knowledge of the severe mold and unsafe conditiondemonstrates a failure to review the file in good faith and in compliance with basic servicing standards. 

These actions violate the servicers obligations under RESPA 1024.41, including the duty to : Conduct a reasonable loss-mitigation evaluation Provide consistent and timely review Avoid unnecessary delays and repetitive requests Communicate accurately and in good faith with authorized representatives The estate has complied with every request. The property condition has been fully disclosed. Multiple offers have been submitted. The only barrier to completion is Shellpoints inconsistent and unjustified counteroffers.","Shellpoint Partners, LLC",ME,040XX,17901792,1405,Yes,01-08-2025,I am satisfied with the resolution provided.,5.0,347,7.0,negative,-0.764721334,positive,0.870885432,0.118,"['shellpoint mortgage', 'pricing shellpoint', 'jeopardized sale', 'sale shellpoints', 'inconsistent valuations']",0.117639333,0.882360667,0.614834434,Medium,"{'anger': 2, 'negative': 10, 'anticipation': 7, 'joy': 8, 'positive': 27, 'trust': 12, 'sadness': 3, 'fear': 2, 'disgust': 1, 'surprise': 2}",
12-06-2025,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,"From XXXX through XX/XX/XXXX automatic payments of {$75.00} were issued from my bank electronically to XXXX. At the end of the XX/XX/XXXX billing cycle, and without notice, XXXX no longer accepted electronic payments from banks. This decision placed myself and, I'm sure, countless others in default causing late fees to be assessed to our accounts. I called XXXX  to question why I was not notified of this change and why the change occurred at all. Customer representative explained my due date and that the website is available for payment. I explained that I did not want to use the website due to the only XXXX options available for autopay are "" statement balance '' or "" minimum balance '' and that I paid over the minimum balance, but could not afford the statement balance. I expressed my displeasure that this was forcing customers to pay more interest. I was also told that XXXX  will only credit XXXX late fees a year, which I completely disagreed with because this was not my fault and eventually did receive full late fee credit. Now, the only way I can pay is via paper check through my bank sending it XXXX to XXXX weeks in advance of the due date to the payment processing center. XX/XX/XXXX payment posted late ( XXXX XXXX XXXX, Posted XXXX XXXX ). I notified my bank who contacted XXXX and on a three-way call I authorized XXXX  to speak to my bank regarding this issue. Bank proved payment sent ; XXXX refused to refund late fee due to their policy of only crediting XXXX late fees in a year. XX/XX/XXXX payment posted late ( XXXX XXXX XXXX, Posted XXXX XXXX ). I notified my bank who contacted XXXX and was told that they do not allow third party calls with anyone even if the customer is conferenced in to give authorization. I believe XXXX is using dates of when payments are posted instead of when payments are received. Also, I believe XXXX XXXX  payment practices are forcing customers to pay interest for longer terms.",Atlanticus Services Corporation,TX,76131,18253394,1813,Yes,27-06-2025,"The issue was resolved, but it took longer than expected.",3.0,345,10.0,neutral,-0.466760814,negative,-0.465236992,0.184,"['automatic payments', 'late fees', 'electronic payments', 'autopay statement', 'available autopay']",0.266619593,0.733380407,0.541097265,Medium,"{'trust': 18, 'disgust': 2, 'fear': 4, 'negative': 22, 'sadness': 10, 'positive': 23, 'anticipation': 5, 'joy': 4, 'anger': 2, 'surprise': 1}",
15-01-2025,Mortgage,Conventional home mortgage,Struggling to pay mortgage,"Trying to communicate with the company to fix an issue related to modification, forbearance, short sale, deed-in-lieu, bankruptcy, or foreclosure","Shellpoint Mortgage Servicing collected default interest in connection with my loan reinstatement but has failed to provide the required calculation or documentation supporting the amount charged. 

Specifically, Shellpoint states that {$15000.00} in default interest was assessed and paid from Idaho Homeowner Assistance Fund ( HAF ) proceeds. I requested a calculation showing how this amount was derived, including the date the default interest provision was triggered, the interest rate applied, the principal balance used, the number of days charged, and the daily accrual methodology.

In the previous complaint 's response, Shellpoint provided only ledger totals and conclusory statements asserting that the charges were correct. Shellpoint did not provide any mathematical calculation, worksheet, reconciliation, or breakdown demonstrating how the default interest amount was computed. No trigger date, accrual period, or rate application was disclosed.

Without this information, I can not verify whether the interest was calculated correctly, whether the default rate was applied only when contractually permitted, or whether interest was overstated or misapplied. This constitutes a failure to provide information required to substantiate charges collected and prevents meaningful review of the account.

This complaint concerns Shellpoints failure to substantiate and document interest charges already collected, not a general disagreement with policy. I am requesting regulatory review of Shellpoints failure to provide a verifiable calculation supporting the default interest assessed.","Shellpoint Partners, LLC",ID,837XX,18239198,1340,Yes,07-04-2025,The issue was resolved quickly and satisfactorily.,4.0,219,7.0,negative,-0.64778769,positive,0.654565692,0.015,"['shellpoint mortgage', 'default assessed', 'assessed paid', 'shellpoints failure', 'concerns shellpoints']",0.176106155,0.823893845,0.540780999,Medium,"{'disgust': 9, 'fear': 10, 'negative': 14, 'sadness': 10, 'positive': 23, 'trust': 16, 'anticipation': 6, 'anger': 3, 'joy': 1}",
